team,team_folder,number,player,wikipedia_title,photo_url,avatar,status
Czech Republic,捷克队,15,Pavel Šulc,Pavel Šulc,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Pavel_%C5%A0ulc_%28cropped%29.jpg/960px-Pavel_%C5%A0ulc_%28cropped%29.jpg,头像/捷克队/Pavel Šulc.png,exists
Czech Republic,捷克队,16,Jindřich Staněk,Jindřich Staněk,https://upload.wikimedia.org/wikipedia/commons/f/fd/Jind%C5%99ich_Stan%C4%9Bk_brank%C3%A1%C5%99_FK_Viktorie_Plze%C5%88_%28r._2023%29_%28cropped%29.jpg,头像/捷克队/Jindřich Staněk.png,exists
Czech Republic,捷克队,17,Lukáš Provod,Lukáš Provod,,,missing_photo
Czech Republic,捷克队,18,Michal Sadílek,Michal Sadílek,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Michal_Sad%C3%ADlek%2C_U21_CZE-GRE_2019-10-10_%282%29.jpg/960px-Michal_Sad%C3%ADlek%2C_U21_CZE-GRE_2019-10-10_%282%29.jpg,头像/捷克队/Michal Sadílek.png,exists
Czech Republic,捷克队,19,Tomáš Chorý,Tomáš Chorý,https://upload.wikimedia.org/wikipedia/commons/0/03/Tom%C3%A1%C5%A1_Chor%C3%BD_%28cropped%29.jpg,头像/捷克队/Tomáš Chorý.png,exists
Czech Republic,捷克队,20,Jaroslav Zelený,Jaroslav Zelený,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Jaroslav_Zelen%C3%BD%2C_FCB-SLAVIA_30092018.jpg/960px-Jaroslav_Zelen%C3%BD%2C_FCB-SLAVIA_30092018.jpg,头像/捷克队/Jaroslav Zelený.png,exists
Czech Republic,捷克队,21,David Douděra,David Douděra,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/David_Doud%C4%9Bra%2C_U21_CZE-GRE_2019-10-10.jpg/960px-David_Doud%C4%9Bra%2C_U21_CZE-GRE_2019-10-10.jpg,头像/捷克队/David Douděra.png,exists
Czech Republic,捷克队,22,Tomáš Souček,Tomáš Souček,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Tom%C3%A1%C5%A1_Sou%C4%8Dek_WHU.jpeg/500px-Tom%C3%A1%C5%A1_Sou%C4%8Dek_WHU.jpeg,头像/捷克队/Tomáš Souček.png,exists
Czech Republic,捷克队,23,Lukáš Horníček,Lukáš Horníček,,,missing_photo
Czech Republic,捷克队,24,Alexandr Sojka,Alexandr Sojka,,,missing_photo
Czech Republic,捷克队,25,Hugo Sochůrek,Hugo Sochůrek,,,missing_photo
Czech Republic,捷克队,26,Denis Višinský,Denis Višinský,,,missing_photo
Mexico,墨西哥队,1,Raúl Rangel,Raúl Rangel (footballer),https://upload.wikimedia.org/wikipedia/commons/7/73/Ra%C3%BAl_Rangel.png,,crop_failed: no face found
Mexico,墨西哥队,2,Jorge Sánchez,"Jorge Sánchez (footballer, born 1997)",https://upload.wikimedia.org/wikipedia/commons/3/30/Jorge_S%C3%A1nchez.png,头像/墨西哥队/Jorge Sánchez.png,exists
Mexico,墨西哥队,3,César Montes,César Montes,https://upload.wikimedia.org/wikipedia/commons/a/a9/C%C3%A9sar_Montes.png,头像/墨西哥队/César Montes.png,exists
Mexico,墨西哥队,4,Edson Álvarez ( captain ),Edson Álvarez,https://upload.wikimedia.org/wikipedia/commons/9/91/Edson_%C3%81lvarez.png,头像/墨西哥队/Edson Álvarez ( captain ).png,exists
Mexico,墨西哥队,5,Johan Vásquez,"Johan Vásquez (footballer, born 1998)",https://upload.wikimedia.org/wikipedia/commons/0/0c/Johan_V%C3%A1squez.png,头像/墨西哥队/Johan Vásquez.png,exists
Mexico,墨西哥队,6,Érik Lira,Érik Lira,https://upload.wikimedia.org/wikipedia/commons/5/54/Erik_Lira_2.png,头像/墨西哥队/Érik Lira.png,exists
Mexico,墨西哥队,7,Luis Romo,Luis Romo,https://upload.wikimedia.org/wikipedia/commons/7/73/Luis_Romo.png,头像/墨西哥队/Luis Romo.png,exists
Mexico,墨西哥队,8,Álvaro Fidalgo,Álvaro Fidalgo,https://upload.wikimedia.org/wikipedia/commons/e/e9/%C3%81lvaro_Fidalgo.png,头像/墨西哥队/Álvaro Fidalgo.png,exists
Mexico,墨西哥队,9,Raúl Jiménez,Raúl Jiménez,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Ra%C3%BAl_Jim%C3%A9nez_04032026_%281%29.jpg/960px-Ra%C3%BAl_Jim%C3%A9nez_04032026_%281%29.jpg,头像/墨西哥队/Raúl Jiménez.png,exists
Mexico,墨西哥队,10,Alexis Vega,Alexis Vega (Mexican footballer),https://upload.wikimedia.org/wikipedia/commons/e/e3/Alexis_Vega.png,头像/墨西哥队/Alexis Vega.png,exists
Mexico,墨西哥队,11,Santiago Giménez,Santiago Giménez,https://upload.wikimedia.org/wikipedia/commons/d/d8/Santiago_Gim%C3%A9nez.png,头像/墨西哥队/Santiago Giménez.png,exists
Mexico,墨西哥队,12,Carlos Acevedo,Carlos Acevedo,https://upload.wikimedia.org/wikipedia/commons/3/31/Carlos_Acevedo.png,头像/墨西哥队/Carlos Acevedo.png,exists
Mexico,墨西哥队,13,Guillermo Ochoa,Guillermo Ochoa,https://upload.wikimedia.org/wikipedia/commons/2/2f/Mex-Kor_%281%29_%28cropped%29.jpg,头像/墨西哥队/Guillermo Ochoa.png,exists
Mexico,墨西哥队,14,Armando González,"Armando González (footballer, born 2003)",https://upload.wikimedia.org/wikipedia/commons/b/bf/Armando_Gonz%C3%A1lez.png,头像/墨西哥队/Armando González.png,exists
Mexico,墨西哥队,15,Israel Reyes,Israel Reyes,https://upload.wikimedia.org/wikipedia/commons/2/2f/Israel_Reyes.png,头像/墨西哥队/Israel Reyes.png,exists
Mexico,墨西哥队,16,Julián Quiñones,Julián Quiñones,https://upload.wikimedia.org/wikipedia/commons/1/1b/Juli%C3%A1n_Qui%C3%B1ones.png,头像/墨西哥队/Julián Quiñones.png,exists
Mexico,墨西哥队,17,Orbelín Pineda,Orbelín Pineda,https://upload.wikimedia.org/wikipedia/commons/0/09/Orbel%C3%ADn_Pineda.png,头像/墨西哥队/Orbelín Pineda.png,exists
Mexico,墨西哥队,18,Obed Vargas,Obed Vargas,,,missing_photo
Mexico,墨西哥队,19,Gilberto Mora,"Gilberto Mora (footballer, born 2008)",https://upload.wikimedia.org/wikipedia/commons/e/e9/Gilberto_Mora.png,头像/墨西哥队/Gilberto Mora.png,exists
Mexico,墨西哥队,20,Mateo Chávez,Mateo Chávez,https://upload.wikimedia.org/wikipedia/commons/a/a8/Mateo_Ch%C3%A1vez.png,头像/墨西哥队/Mateo Chávez.png,exists
Mexico,墨西哥队,21,César Huerta,César Huerta,https://upload.wikimedia.org/wikipedia/commons/8/88/C%C3%A9sar_Huerta.png,头像/墨西哥队/César Huerta.png,exists
Mexico,墨西哥队,22,Guillermo Martínez,Guillermo Martínez (footballer),https://upload.wikimedia.org/wikipedia/commons/e/ec/Inter_Miami_CF_3-1_UNAM_%286_August_2025%29_30_%28cropped%29.jpg,头像/墨西哥队/Guillermo Martínez.png,exists
Mexico,墨西哥队,23,Jesús Gallardo,Jesús Gallardo,https://upload.wikimedia.org/wikipedia/commons/1/1e/Jes%C3%BAs_Gallardo.png,头像/墨西哥队/Jesús Gallardo.png,exists
Mexico,墨西哥队,24,Luis Chávez,Luis Chávez (footballer),https://upload.wikimedia.org/wikipedia/commons/c/cd/Luis_Ch%C3%A1vez_WC_2022_-_01.jpg,头像/墨西哥队/Luis Chávez.png,exists
Mexico,墨西哥队,25,Roberto Alvarado,Roberto Alvarado,https://upload.wikimedia.org/wikipedia/commons/3/38/Roberto_Alvarado.png,头像/墨西哥队/Roberto Alvarado.png,exists
Mexico,墨西哥队,26,Brian Gutiérrez,Brian Gutiérrez,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Brian_Guti%C3%A9rrez_Philadelphia_Chicago_10.26.25-126_%28cropped%29.jpg/960px-Brian_Guti%C3%A9rrez_Philadelphia_Chicago_10.26.25-126_%28cropped%29.jpg,头像/墨西哥队/Brian Gutiérrez.png,exists
South Africa,南非队,1,Ronwen Williams ( captain ),Ronwen Williams,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Ronwen_Williams_AFCON2025Q_35.jpg/1280px-Ronwen_Williams_AFCON2025Q_35.jpg,头像/南非队/Ronwen Williams ( captain ).png,exists
South Africa,南非队,2,Thabang Matuludi,Thabang Matuludi,,,missing_photo
South Africa,南非队,3,Khulumani Ndamane,Khulumani Ndamane,,,missing_photo
South Africa,南非队,4,Teboho Mokoena,"Teboho Mokoena (soccer, born 1997)",,,missing_photo
South Africa,南非队,5,Thalente Mbatha,Thalente Mbatha,,,missing_photo
South Africa,南非队,6,Aubrey Modiba,Aubrey Modiba,https://upload.wikimedia.org/wikipedia/commons/7/7d/Aubrey_Modiba_%28cropped%29.jpg,头像/南非队/Aubrey Modiba.png,exists
South Africa,南非队,7,Oswin Appollis,Oswin Appollis,,,missing_photo
South Africa,南非队,8,Tshepang Moremi,Tshepang Moremi,,,missing_photo
South Africa,南非队,9,Lyle Foster,Lyle Foster,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Lyle_Foster_29112025_%286%29.jpg/960px-Lyle_Foster_29112025_%286%29.jpg,头像/南非队/Lyle Foster.png,exists
South Africa,南非队,10,Relebohile Mofokeng,Relebohile Mofokeng,,,missing_photo
South Africa,南非队,11,Themba Zwane,Themba Zwane,,,missing_photo
South Africa,南非队,12,Thapelo Maseko,Thapelo Maseko,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Go_Ahead_Eagles_-_Mamelodi_Sundowns_FC_-_53066145739.jpg/1280px-Go_Ahead_Eagles_-_Mamelodi_Sundowns_FC_-_53066145739.jpg,头像/南非队/Thapelo Maseko.png,exists
South Africa,南非队,13,Sphephelo Sithole,Sphephelo Sithole,,,missing_photo
South Africa,南非队,14,Mbekezeli Mbokazi,Mbekezeli Mbokazi,,,missing_photo
South Africa,南非队,15,Iqraam Rayners,Iqraam Rayners,,,missing_photo
South Africa,南非队,16,Sipho Chaine,Sipho Chaine,,,missing_photo
South Africa,南非队,17,Evidence Makgopa,Evidence Makgopa,,,missing_photo
South Africa,南非队,18,Samukele Kabini,Samukele Kabini,,,missing_photo
South Africa,南非队,19,Nkosinathi Sibisi,Nkosinathi Sibisi,,,missing_photo
South Africa,南非队,20,Khuliso Mudau,Khuliso Mudau,,,missing_photo
South Africa,南非队,21,Ime Okon,Ime Okon,,,missing_photo
South Africa,南非队,22,Ricardo Goss,Ricardo Goss,,,missing_photo
South Africa,南非队,23,Jayden Adams,Jayden Adams,,,missing_photo
South Africa,南非队,24,Olwethu Makhanya,Olwethu Makhanya,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Olwethu_Makhanya_Philadelphia_Union_New_York_City_FC_Nov_23_2025-027_%28cropped%29.jpg/960px-Olwethu_Makhanya_Philadelphia_Union_New_York_City_FC_Nov_23_2025-027_%28cropped%29.jpg,头像/南非队/Olwethu Makhanya.png,exists
South Africa,南非队,25,Kamogelo Sebelebele,Kamogelo Sebelebele,,,missing_photo
South Africa,南非队,26,Bradley Cross,Bradley Cross (soccer),,,missing_photo
South Korea,韩国队,1,Kim Seung-gyu,Kim Seung-gyu,https://upload.wikimedia.org/wikipedia/commons/8/89/Rus-SK2017_%2822%29.jpg,头像/韩国队/Kim Seung-gyu.png,exists
South Korea,韩国队,2,Lee Han-beom,Lee Han-beom,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/230422_FC_%EC%84%9C%EC%9A%B8_vs_%EC%88%98%EC%9B%90_%EC%82%BC%EC%84%B1_%EB%B8%94%EB%A3%A8%EC%9C%99%EC%A6%88_%28%EC%9D%B4%ED%95%9C%EB%B2%94%29.jpg/960px-230422_FC_%EC%84%9C%EC%9A%B8_vs_%EC%88%98%EC%9B%90_%EC%82%BC%EC%84%B1_%EB%B8%94%EB%A3%A8%EC%9C%99%EC%A6%88_%28%EC%9D%B4%ED%95%9C%EB%B2%94%29.jpg,头像/韩国队/Lee Han-beom.png,exists
South Korea,韩国队,3,Lee Gi-hyuk,Lee Gi-hyuk,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/250617_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B0%95%EC%9B%90_%28%EC%9D%B4%EA%B8%B0%ED%98%81%29_1.jpg/960px-250617_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B0%95%EC%9B%90_%28%EC%9D%B4%EA%B8%B0%ED%98%81%29_1.jpg,头像/韩国队/Lee Gi-hyuk.png,exists
South Korea,韩国队,4,Kim Min-jae,Kim Min-jae (footballer),https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_26.jpg/960px-FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_26.jpg,头像/韩国队/Kim Min-jae.png,exists
South Korea,韩国队,5,Kim Tae-hyeon,Kim Tae-hyeon,,,missing_photo
South Korea,韩国队,6,Hwang In-beom,Hwang In-beom,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/240611_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_vs_%EC%A4%91%EA%B5%AD_%28%ED%99%A9%EC%9D%B8%EB%B2%94%29.jpg/960px-240611_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_vs_%EC%A4%91%EA%B5%AD_%28%ED%99%A9%EC%9D%B8%EB%B2%94%29.jpg,头像/韩国队/Hwang In-beom.png,exists
South Korea,韩国队,7,Son Heung-min ( captain ),Son Heung-min,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/BFA_2023_-2_Heung-Min_Son_%28cropped%29.jpg/960px-BFA_2023_-2_Heung-Min_Son_%28cropped%29.jpg,头像/韩国队/Son Heung-min ( captain ).png,exists
South Korea,韩国队,8,Paik Seung-ho,Paik Seung-ho,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/190608_%EC%98%A4%ED%94%88_%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D_%EB%8D%B0%EC%9D%B4_%EB%B0%B1%EC%8A%B9%ED%98%B8_1.jpg/960px-190608_%EC%98%A4%ED%94%88_%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D_%EB%8D%B0%EC%9D%B4_%EB%B0%B1%EC%8A%B9%ED%98%B8_1.jpg,头像/韩国队/Paik Seung-ho.png,exists
South Korea,韩国队,9,Cho Gue-sung,Cho Gue-sung,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/191130_%EB%B6%80%EC%82%B0%EC%95%84%EC%9D%B4%ED%8C%8C%ED%81%AC_VS_FC%EC%95%88%EC%96%91_%ED%94%8C%EB%A0%88%EC%9D%B4%EC%98%A4%ED%94%84%2C_%EC%A1%B0%EA%B7%9C%EC%84%B1_2.jpg/960px-191130_%EB%B6%80%EC%82%B0%EC%95%84%EC%9D%B4%ED%8C%8C%ED%81%AC_VS_FC%EC%95%88%EC%96%91_%ED%94%8C%EB%A0%88%EC%9D%B4%EC%98%A4%ED%94%84%2C_%EC%A1%B0%EA%B7%9C%EC%84%B1_2.jpg,头像/韩国队/Cho Gue-sung.png,exists
South Korea,韩国队,10,Lee Jae-sung,Lee Jae-sung,https://upload.wikimedia.org/wikipedia/commons/e/e1/Asian_Nations_Cup_-_Jordan_and_South_Korea_%2874%29_%28cropped%29_2.jpg,头像/韩国队/Lee Jae-sung.png,exists
South Korea,韩国队,11,Hwang Hee-chan,Hwang Hee-chan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/240622_%ED%99%A9%ED%9D%AC%EC%B0%AC_%ED%92%8B%EB%B3%BC_%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C.jpg/960px-240622_%ED%99%A9%ED%9D%AC%EC%B0%AC_%ED%92%8B%EB%B3%BC_%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C.jpg,头像/韩国队/Hwang Hee-chan.png,exists
South Korea,韩国队,12,Song Bum-keun,Song Bum-keun,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/240611_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_vs_%EC%A4%91%EA%B5%AD_%28%EC%86%A1%EB%B2%94%EA%B7%BC%29.jpg/960px-240611_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_vs_%EC%A4%91%EA%B5%AD_%28%EC%86%A1%EB%B2%94%EA%B7%BC%29.jpg,头像/韩国队/Song Bum-keun.png,exists
South Korea,韩国队,13,Lee Tae-seok,Lee Tae-seok,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/%EB%B0%80%EC%9B%8C%ED%82%A4_%EC%9D%B4%EB%8B%AC%EC%9D%98_%EC%84%A0%EC%88%98_5%EC%9B%94_-_%EC%9D%B4%ED%83%9C%EC%84%9D_%EC%9D%B8%ED%84%B0%EB%B7%B0_%26_%EC%A0%9C%ED%92%88_%EC%96%B8%EB%B0%95%EC%8B%B1%EA%B9%8C%EC%A7%80%21_0s.jpg/960px-%EB%B0%80%EC%9B%8C%ED%82%A4_%EC%9D%B4%EB%8B%AC%EC%9D%98_%EC%84%A0%EC%88%98_5%EC%9B%94_-_%EC%9D%B4%ED%83%9C%EC%84%9D_%EC%9D%B8%ED%84%B0%EB%B7%B0_%26_%EC%A0%9C%ED%92%88_%EC%96%B8%EB%B0%95%EC%8B%B1%EA%B9%8C%EC%A7%80%21_0s.jpg,头像/韩国队/Lee Tae-seok.png,exists
South Korea,韩国队,14,Cho Wi-je,Cho Wi-je,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/260411_FC_%EC%84%9C%EC%9A%B8_vs_%EC%A0%84%EB%B6%81_%28%EC%A1%B0%EC%9C%84%EC%A0%9C%29.jpg/960px-260411_FC_%EC%84%9C%EC%9A%B8_vs_%EC%A0%84%EB%B6%81_%28%EC%A1%B0%EC%9C%84%EC%A0%9C%29.jpg,头像/韩国队/Cho Wi-je.png,exists
South Korea,韩国队,15,Kim Moon-hwan,Kim Moon-hwan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/191202_K%EB%A6%AC%EA%B7%B8_%EC%8B%9C%EC%83%81%EC%8B%9D%2C_%EA%B9%80%EB%AC%B8%ED%99%98_3.jpg/960px-191202_K%EB%A6%AC%EA%B7%B8_%EC%8B%9C%EC%83%81%EC%8B%9D%2C_%EA%B9%80%EB%AC%B8%ED%99%98_3.jpg,头像/韩国队/Kim Moon-hwan.png,exists
South Korea,韩国队,16,Park Jin-seob,"Park Jin-seob (footballer, born 1995)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/250702_FC_%EC%84%9C%EC%9A%B8_vs_%EC%A0%84%EB%B6%81_%28%EB%B0%95%EC%A7%84%EC%84%AD%29.jpg/960px-250702_FC_%EC%84%9C%EC%9A%B8_vs_%EC%A0%84%EB%B6%81_%28%EB%B0%95%EC%A7%84%EC%84%AD%29.jpg,头像/韩国队/Park Jin-seob.png,exists
South Korea,韩国队,17,Bae Jun-ho,Bae Jun-ho,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Bae_Jun-ho_20092025_%282%29.jpg/1280px-Bae_Jun-ho_20092025_%282%29.jpg,头像/韩国队/Bae Jun-ho.png,exists
South Korea,韩国队,18,Oh Hyeon-gyu,Oh Hyeon-gyu,https://upload.wikimedia.org/wikipedia/commons/b/b4/Oh_Hyeon-gyu_BJK.jpeg,头像/韩国队/Oh Hyeon-gyu.png,exists
South Korea,韩国队,19,Lee Kang-in,Lee Kang-in,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Lee_Kang-in_-_2022_%2852551771501%29_%28cropped%29.jpg/960px-Lee_Kang-in_-_2022_%2852551771501%29_%28cropped%29.jpg,头像/韩国队/Lee Kang-in.png,exists
South Korea,韩国队,20,Yang Hyun-jun,Yang Hyun-jun,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Celtic-20240722-062_%28cropped%29.jpg/960px-Celtic-20240722-062_%28cropped%29.jpg,头像/韩国队/Yang Hyun-jun.png,exists
South Korea,韩国队,21,Jo Hyeon-woo,Jo Hyeon-woo,https://upload.wikimedia.org/wikipedia/commons/2/26/Jo_Hyeon-woo.jpg,头像/韩国队/Jo Hyeon-woo.png,exists
South Korea,韩国队,22,Seol Young-woo,Seol Young-woo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/%28%EC%B6%94%EA%BE%B8%EB%AF%B8%29_%27%EC%9A%B8%EC%82%B0_%ED%95%A9%EB%A5%98%27_%EC%84%A4%EC%98%81%EC%9A%B0.jpg/960px-%28%EC%B6%94%EA%BE%B8%EB%AF%B8%29_%27%EC%9A%B8%EC%82%B0_%ED%95%A9%EB%A5%98%27_%EC%84%A4%EC%98%81%EC%9A%B0.jpg,头像/韩国队/Seol Young-woo.png,exists
South Korea,韩国队,23,Jens Castrop,Jens Castrop,,,missing_photo
South Korea,韩国队,24,Kim Jin-gyu,"Kim Jin-gyu (footballer, born 1997)",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/191208_%EB%B6%80%EC%82%B0%EC%95%84%EC%9D%B4%ED%8C%8C%ED%81%AC_%EC%8A%B9%EA%B0%95PO%2C_%EA%B9%80%EC%A7%84%EA%B7%9C_3.jpg/960px-191208_%EB%B6%80%EC%82%B0%EC%95%84%EC%9D%B4%ED%8C%8C%ED%81%AC_%EC%8A%B9%EA%B0%95PO%2C_%EA%B9%80%EC%A7%84%EA%B7%9C_3.jpg,头像/韩国队/Kim Jin-gyu.png,exists
South Korea,韩国队,25,Eom Ji-sung,Eom Ji-sung,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28%EC%97%84%EC%A7%80%EC%84%B1%29.jpg/960px-230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28%EC%97%84%EC%A7%80%EC%84%B1%29.jpg,头像/韩国队/Eom Ji-sung.png,exists
South Korea,韩国队,26,Lee Dong-gyeong,Lee Dong-gyeong,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/250303_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B9%80%EC%B2%9C_%28%EC%9D%B4%EB%8F%99%EA%B2%BD%29.jpg/960px-250303_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B9%80%EC%B2%9C_%28%EC%9D%B4%EB%8F%99%EA%B2%BD%29.jpg,头像/韩国队/Lee Dong-gyeong.png,exists
Bosnia and Herzegovina,波黑队,1,Nikola Vasilj,Nikola Vasilj,https://upload.wikimedia.org/wikipedia/commons/7/7a/2025-04-23_-_FC_St_Pauli_-_Nikola_Vasilj.jpg,头像/波黑队/Nikola Vasilj.png,exists
Bosnia and Herzegovina,波黑队,2,Nihad Mujakić,Nihad Mujakić,,,missing_photo
Bosnia and Herzegovina,波黑队,3,Dennis Hadžikadunić,Dennis Hadžikadunić,https://upload.wikimedia.org/wikipedia/commons/a/a7/Dennis_Had%C5%BEikaduni%C4%87_2021.jpg,头像/波黑队/Dennis Hadžikadunić.png,exists
Bosnia and Herzegovina,波黑队,4,Tarik Muharemović,Tarik Muharemović,https://upload.wikimedia.org/wikipedia/commons/3/36/FC_Internazionale_Milano_v_US_Sassuolo_Calcio%2C_21_September_2025_-_08_%28Tarik_Muharemovi%C4%87%29.jpg,,crop_failed: no face found
Bosnia and Herzegovina,波黑队,5,Sead Kolašinac,Sead Kolašinac,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/1_Sead_Kola%C5%A1inac_2018_%28cropped2%29.jpg/960px-1_Sead_Kola%C5%A1inac_2018_%28cropped2%29.jpg,头像/波黑队/Sead Kolašinac.png,exists
Bosnia and Herzegovina,波黑队,6,Benjamin Tahirović,Benjamin Tahirović,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Benjamin_Tahirovic_for_Br%C3%B8ndby.jpg/960px-Benjamin_Tahirovic_for_Br%C3%B8ndby.jpg,头像/波黑队/Benjamin Tahirović.png,exists
